Name           Score-1        Score-2        Score-3        Score-4        Score-5        grade          
Johnson        85.00          83.00          77.00          91.00          76.00          B              
Aniston        80.00          90.00          95.00          93.00          48.00          B              
Cooper         78.00          81.00          11.00          90.00          73.00          D              
Gupta          92.00          83.00          30.00          69.00          87.00          C              
Blair          23.00          45.00          96.00          38.00          59.00          F              
Clark          60.00          85.00          45.00          39.00          67.00          F              
Kennedy        77.00          31.00          52.00          74.00          83.00          D              
Bronson        93.00          94.00          89.00          77.00          97.00          A              
Sunny          79.00          85.00          28.00          93.00          82.00          C              
Smith          85.00          72.00          49.00          75.00          63.00          D              

Class Average: 70.94
